항목1,항목2,항목3,항목4,항목5,항목6,항목7,항목8,항목9
돼지고기,소고기,과일,야채,전지우유,쌀,신문,,
돼지고기,열대과일,요거트,냉동 야채,롤빵,마가린,향신료,,
야채,허브,,,,,,,
열대과일,롤빵,음료수,,,,,,
돼지고기,전지우유,롤빵,세정제,냅킨,,,,
전지우유,식빵,,,,,,,
소시지,소고기,롤빵,식빵,소고기,소다,캔맥주,쇼핑백,
전지우유,버터,설탕,,,,,,
전지우유,생수,소다,껌,,,,,
야채,강아지 사료,생수,,,,,,
아이스크림,포도주,,,,,,,
치즈,소다,병맥주,소주,와인,냅킨,,,
햄,감귤,열대과일,과일,치즈,식빵,쇼핑백,,
과일,버터우유,치즈,롤빵,냅킨,,,,
전지우유,버터,소다,초콜릿,,,,,
소다,와플,,,,,,,
음료수,사진 필름,,,,,,,
돼지고기,전지우유,롤빵,감미료,야채 주스,케이크,,,
과일,캔맥주,쇼핑백,,,,,,
디저트,치즈,롤빵,식빵,소다,캔맥주,신문,,
커피,캔맥주,,,,,,,
패스트리,생수,초콜릿,,,,,,
소시지,소고기,생수,,,,,,
롤빵,절인 야채,,,,,,,
강아지 사료,캔맥주,,,,,,,
치킨,야채,전지우유,롤빵,파스타,신문,,,
전지우유,설탕,생수,병맥주,,,,,
감귤,열대과일,야채,전지우유,버터,요거트,치즈,크림 치즈,
소시지,전지우유,,,,,,,
소고기,과일,야채,생수,쇼핑백,,,,
햄,치즈,롤빵,식빵,야채 주스,캔맥주,와플,초콜릿,
패스트리,커피,생수,음료수,,,,,
열대과일,과일,포도,생수,소다,껌,,,
감귤,열대과일,요거트,우유,패스트리,,,,
야채,전지우유,치즈,치즈,,,,,
와플,초콜릿,,,,,,,
소시지,전지우유,요거트,사워 크림,패스트리,야채 주스,사탕,,
소시지,열대과일,야채,양파,전지우유,식빵,껌,,
소시지,소고기,요거트,,,,,,
전지우유,마가린,소다,,,,,,
돼지고기,감귤,디저트,요거트,,,,,
전지우유,계란,롤빵,야채 주스,,,,,
전지우유,식빵,,,,,,,
롤빵,패스트리,머스타드,소다,케이크,,,,
전지우유,병맥주,,,,,,,
햄,열대과일,전지우유,요거트,치즈,롤빵,밀가루,마가린,
소시지,버터,치즈,계란,,,,,
돼지고기,열대과일,전지우유,계란,,,,,
돼지고기,소다,야채 주스,병맥주,소주,,,,
전지우유,냉동 식품,생수,,,,,,
야채,허브,크림 치즈,냉동 야채,잼,생선 통조림,커피,,
감귤,야채,냉동 야채,껌,,,,,
돼지고기,야채,,,,,,,
롤빵,소다,,,,,,,
치킨,와인,,,,,,,
돼지고기,전지우유,쇼핑백,,,,,,
음료수,롤빵,소다,,,,,,
소시지,전지우유,,,,,,,
전지우유,신문,,,,,,,
소고기,사워 크림,,,,,,,
과일,소다,캔맥주,,,,,,
병맥주,소주,,,,,,,
사워 크림,롤빵,와플,신문,,,,,
소다,껌,,,,,,,
과일,사워 크림,치즈,생수,야채 주스,,,,
감귤,전지우유,버터,기름,세정제,,,,
소고기,롤빵,식빵,밀가루,소고기,,,,
치킨,사탕,,,,,,,
지퍼백,병맥주,,,,,,,
소시지,초콜릿,,,,,,,
돼지고기,우유,,,,,,,
아이스크림,롤빵,초콜릿,,,,,,
소고기,감귤,열대과일,야채,전지우유,버터,요거트,치즈,
생선,초콜릿,,,,,,,
열대과일,전지우유,버터,시럽,,,,,
열대과일,전지우유,계란,롤빵,생수,,,,
냉동 야채,냉동 디저트,마가린,사탕,세정제,,,,
야채,허브,전지우유,요거트,사워 크림,냉동 야채,냉동 과일,베이킹 파우더,
생선,냉동 식품,계란,병맥주,소주,그릇,신문,,
우유,생선 통조림,,,,,,,
딸기,기름,생수,케이크,쇼핑백,,,,
소금,마가린,캔맥주,,,,,,
과일,야채,냉동 야채,냉동 감자,패스트리,야채 주스,냅킨,바지,
소시지,냉동 감자,,,,,,,
냉동 식품,소다,초콜릿,,,,,,
딸기,식빵,,,,,,,
소주,냅킨,,,,,,,
요거트,음료수,소다,쇼핑백,,,,,
감귤,열대과일,과일,농축 우유,냉동 식품,소고기,생선 통조림,커피,캔맥주
햄,양파,사워 크림,치즈,병맥주,쇼핑백,,,
계란,와플,냅킨,,,,,,
열대과일,요거트,우유,크림 치즈,치즈,식빵,설탕,,
롤빵,식빵,,,,,,,
과일,생수,,,,,,,
열대과일,요거트,소금,병맥주,,,,,
전지우유,야채 주스,껌,쇼핑백,,,,,
치킨,열대과일,계란,백포도주,,,,,
양파,전지우유,,,,,,,
열대과일,전지우유,마요네즈,식빵,생선 통조림,소다,음료수,병맥주,
야채 주스,신문,,,,,,,
딸기,롤빵,패스트리,야채 주스,캔맥주,,,,
식빵,패스트리,생수,캔맥주,,,,,
소고기,요거트,크림 치즈,식빵,소고기,생선 통조림,,,
전지우유,디저트,껌,,,,,,
햄,전구,,,,,,,
초콜릿,초콜릿,,,,,,,
치즈,식빵,설탕,고양이 사료,소다,야채 주스,사탕,쇼핑백,
야채,허브,,,,,,,
열대과일,디저트,요거트,소다,사탕,,,,
열대과일,과일,치즈,롤빵,음료수,야채 주스,사탕,,
소시지,요거트,고양이 사료,,,,,,
소다,소주,,,,,,,
소시지,냉동 식품,쇼핑백,,,,,,
감귤,열대과일,과일,껌,,,,,
전지우유,요거트,패스트리,소다,,,,,
음료수,캔맥주,,,,,,,
열대과일,전지우유,신문,쇼핑백,,,,,
소고기,병맥주,와인,쇼핑백,,,,,
소시지,과일,소다,캔맥주,케이크,쇼핑백,,,
전지우유,요거트,치즈,생수,소다,,,,
소시지,햄,과일,양파,치즈,식빵,생수,쇼핑백,
소고기,간식,,,,,,,
소시지,열대과일,버터,냉동 식품,파스타,야채 주스,,,
전지우유,식빵,,,,,,,
커피,커피,,,,,,,
열대과일,전지우유,계란,와인,,,,,
소시지,우유,식빵,기름,캔맥주,브랜디,쇼핑백,,
롤빵,패스트리,,,,,,,
전지우유,롤빵,소다,,,,,,
소다,간식,케이크,사탕,,,,,
버터,디저트,요거트,롤빵,마가린,껌,,,
치킨,열대과일,과일,,,,,,
소시지,롤빵,생수,소다,신문,쇼핑백,,,
과일,버터우유,우유,아이스크림,롤빵,남성 화장품,신문,,
치즈,아이스크림,,,,,,,
전지우유,식빵,신문,,,,,,
패스트리,파스타,,,,,,,
패스트리,커피,,,,,,,
아이스크림,병맥주,그릇,쇼핑백,,,,,
감귤,요거트,사워 크림,쇼핑백,,,,,
소시지,디저트,,,,,,,
야채,전지우유,롤빵,설탕,시리얼,소다,비누,,
아이스크림,소다,,,,,,,
소고기,과일,전지우유,요거트,냉동 식품,패스트리,야채 주스,,
열대과일,디저트,요거트,치즈,크림 치즈,롤빵,식빵,야채 통조림,야채 주스
치킨,야채,전지우유,냉동 야채,계란,식빵,야채 통조림,,
야채,식빵,베이킹 파우더,,,,,,
야채 주스,간식,냅킨,,,,,,
커피,차,,,,,,,
치킨,돼지고기,마가린,병맥주,,,,,
돼지고기,롤빵,,,,,,,
커피,소다,,,,,,,
음료수,그릇,,,,,,,
소고기,열대과일,전지우유,마가린,소다,양초,,,
전지우유,소고기,야채 주스,,,,,,
치킨,요거트,사워 크림,,,,,,
디저트,초콜릿,,,,,,,
패스트리,마가린,커피,,,,,,
소시지,전지우유,요거트,,,,,,
양파,냉동 식품,,,,,,,
열대과일,우유,계란,화초,,,,,
패스트리,소다,,,,,,,
과일,야채,전지우유,버터,요거트,우유,치즈,식빵,
소고기,전지우유,치즈,야채 주스,,,,,
전지우유,치즈,롤빵,생수,,,,,
과일,전지우유,,,,,,,
인스턴트 식품,소다,,,,,,,
돼지고기,요거트,,,,,,,
소고기,돼지고기,버터,식빵,초콜릿,주방 수건,,,
열대과일,과일,전지우유,크림 치즈,냉동 야채,아이스크림,생수,쇼핑백,
소다,캔맥주,,,,,,,
소고기,전지우유,요거트,,,,,,
사워 크림,냉동 야채,,,,,,,
열대과일,야채,전지우유,아이스크림,파스타,야채 통조림,소다,간식,
소시지,신문,,,,,,,
열대과일,사워 크림,,,,,,,
돼지고기,치즈,캔맥주,,,,,,
전지우유,고양이 사료,커피,소다,음료수,초콜릿,,,
전지우유,치즈,소다,케이크,초콜릿,쇼핑백,,,
소시지,열대과일,야채,치즈,야채 주스,와플,,,
돼지고기,전지우유,냉동 야채,식빵,야채 통조림,포도주,초콜릿,,
소고기,전지우유,식빵,냅킨,,,,,
열대과일,과일,우유,크림 치즈,파스타,소스,베이킹 파우더,고양이 사료,
전지우유,요거트,계란,롤빵,야채 주스,초콜릿,,,
생수,와플,초콜릿,,,,,,
소고기,초콜릿,,,,,,,
소시지,열대과일,요거트,냉동 식품,고양이 사료,생수,소다,병맥주,와플
과일,전지우유,버터,사워 크림,치즈,패스트리,냅킨,,
우유,머스타드,,,,,,,
전지우유,식빵,,,,,,,
버터우유,식빵,,,,,,,
허브,전지우유,고양이 사료,소다,,,,,
열대과일,야채,전지우유,요거트,쌀,기름,욕실 청소용품,,
치킨,롤빵,생수,,,,,,
크림 치즈,냉동 과일,마가린,코코아,소다,,,,
돼지고기,소고기,전지우유,요거트,마가린,야채 주스,,,
야채,양파,디저트,마요네즈,식빵,소금,생선 통조림,생수,야채 주스
버터,치즈,아이스크림,롤빵,소다,초콜릿,초콜릿,,
우유,설탕,커피,캔맥주,,,,,
전지우유,고양이 사료,,,,,,,
소시지,소고기,치킨,소고기,감귤,야채,허브,전지우유,버터
전지우유,롤빵,캔맥주,껌,,,,,
소시지,소고기,딸기,양파,치즈,치즈,크림 치즈,마요네즈,
치즈,롤빵,,,,,,,
소시지,소고기,전지우유,디저트,요거트,식빵,남성 화장품,,
치킨,과일,전지우유,디저트,마가린,소다,캔맥주,소주,신문
버터우유,요거트,,,,,,,
과일,요거트,크림 치즈,소고기,커피,초콜릿,쇼핑백,,
소시지,딸기,치즈,크림 치즈,,,,,
버터,요거트,,,,,,,
열대과일,전지우유,신문,,,,,,
전지우유,요거트,음료수,롤빵,생수,야채 주스,,,
롤빵,패스트리,,,,,,,
열대과일,전지우유,,,,,,,
디저트,치즈,식빵,패스트리,소다,쇼핑백,,,
전지우유,치즈,,,,,,,
초콜릿,사탕,냅킨,,,,,,
마가린,음료수,,,,,,,
치킨,버터,냉동 야채,소다,음료수,초콜릿,초콜릿,,
소금,간식,,,,,,,
과일,음료수,껌,초콜릿,쇼핑백,,,,
소시지,치즈,계란,소다,쇼핑백,,,,
전지우유,간식,,,,,,,
열대과일,과일,야채,양파,전지우유,사워 크림,음료수,야채 주스,
햄,전지우유,치즈,마가린,커피,야채 주스,,,
소시지,돼지고기,소고기,열대과일,전지우유,버터우유,사워 크림,,
생선,우유,크림 치즈,아이스크림,,,,,
감귤,롤빵,소다,껌,쇼핑백,,,,
우유,소다,세정제,,,,,,
감귤,과일,전지우유,생선,계란,잼,그릇,,
전지우유,병맥주,소주,,,,,,
햄,전지우유,디저트,롤빵,음료수,와플,피부관리용품,,
소고기,롤빵,음료수,,,,,,
과일,롤빵,과자,,,,,,
우유,계란,롤빵,야채 주스,신문,,,,
전지우유,버터우유,마가린,,,,,,
전지우유,버터우유,크림 치즈,커피,,,,,
소시지,과일,야채,전지우유,치즈,롤빵,마가린,생수,
요거트,롤빵,,,,,,,
야채,우유,계란,파스타,마가린,수프,고양이 사료,커피,생수
캔맥주,쇼핑백,,,,,,,
돼지고기,열대과일,과일,사워 크림,초콜릿,초콜릿,쇼핑백,,
과일,소다,,,,,,,
소고기,돼지고기,치즈,기름,마가린,,,,
돼지고기,과일,냉동 야채,식빵,,,,,
전지우유,마요네즈,냉동 감자,패스트리,마가린,베이킹 파우더,,,
전지우유,계란,,,,,,,
소시지,생수,,,,,,,
생수,신문,,,,,,,
소고기,과일,전지우유,버터,요거트,농축 우유,식빵,세정제,
열대과일,생수,백포도주,신문,,,,,
롤빵,식빵,소다,음료수,병맥주,,,,
소시지,요거트,롤빵,소다,캔맥주,,,,
치즈,계란,롤빵,생수,소다,화초,,,
돼지고기,전지우유,크림 치즈,생선,롤빵,패스트리,,,
소다,병맥주,,,,,,,
햄,햄,냉동 야채,패스트리,,,,,
전지우유,마가린,잼,간식,쇼핑백,,,,
열대과일,과일,야채,전지우유,요거트,차,생수,,
열대과일,전지우유,음료수,소다,간식,신문,,,
캔맥주,와플,,,,,,,
생수,소다,,,,,,,
열대과일,야채,양파,사워 크림,치즈,식빵,생수,,
버터,요거트,사워 크림,크림 치즈,마가린,베이킹 파우더,,,
열대과일,크림 치즈,베이킹 파우더,,,,,,
감귤,요거트,신문,,,,,,
전지우유,기름,마가린,,,,,,
열대과일,딸기,야채,버터,우유,생수,소다,,
소고기,야채,소다,야채 주스,세정제,신문,,,
야채 주스,화초,,,,,,,
소고기,감귤,야채,전지우유,생수,신문,,,
소고기,전지우유,패스트리,밀가루,절인 야채,,,,
소시지,전지우유,치즈,마요네즈,롤빵,패스트리,절인 야채,생수,쇼핑백
요거트,냉동 디저트,롤빵,패스트리,소다,야채 주스,냅킨,,
돼지고기,전지우유,패스트리,설탕,신문,,,,
열대과일,야채,전지우유,요거트,사워 크림,롤빵,마가린,설탕,인스턴트 식품
롤빵,마가린,생수,소주,와인,와플,초콜릿,,
과일,패스트리,,,,,,,
전지우유,생수,병맥주,신문,,,,,
전지우유,설탕,고양이 사료,,,,,,
소시지,야채,전지우유,사워 크림,롤빵,머스타드,,,
소고기,롤빵,,,,,,,
패스트리,커피,껌,,,,,,
열대과일,생수,,,,,,,
소시지,돼지고기,백포도주,,,,,,
야채,크림 치즈,초콜릿,,,,,,
생수,캔맥주,껌,신문,,,,,
생수,캔맥주,,,,,,,
전지우유,요거트,,,,,,,
전지우유,롤빵,생수,,,,,,
소시지,딸기,롤빵,껌,쇼핑백,,,,
소시지,햄,열대과일,전지우유,버터,치즈,롤빵,쌀,
소시지,디저트,요거트,우유,크림 치즈,냉동 야채,롤빵,식빵,
감귤,디저트,요거트,우유,냉동 야채,생선,지퍼백,향신료,와플
소시지,햄,치즈,생선,롤빵,마가린,머스타드,,
전지우유,요거트,아이스크림,식빵,패스트리,소다,신문,,
소시지,전지우유,롤빵,,,,,,
전지우유,롤빵,피부관리용품,그릇,,,,,
세정제,사진 필름,,,,,,,
감귤,열대과일,과일,야채,포장 채소,디저트,요거트,우유,치즈
소고기,야채,허브,전지우유,버터,롤빵,식빵,병맥주,
포장 채소,식빵,패스트리,전구,신문,,,,
야채 주스,와플,,,,,,,
열대과일,딸기,전지우유,버터,버터우유,식빵,,,
과일,패스트리,마가린,,,,,,
소시지,치킨,전지우유,사워 크림,계란,롤빵,,,
야채,전지우유,치즈,소스,생수,야채 주스,,,
치킨,소고기,열대과일,치즈,절인 야채,생수,세정제,신문,
열대과일,요거트,우유,생수,소다,,,,
열대과일,버터우유,음료수,생수,야채 주스,간식,껌,냅킨,신문
야채,롤빵,,,,,,,
소고기,과일,야채,전지우유,치즈,병맥주,세정제,,
아이스크림,식빵,소다,신문,,,,,
과일,야채,냉동 야채,롤빵,소다,백포도주,신문,,
햄,열대과일,야채,버터,사워 크림,치즈,케첩,야채 주스,
롤빵,마가린,생수,병맥주,,,,,
소시지,소다,,,,,,,
소고기,마가린,병맥주,,,,,,
전지우유,요거트,식빵,초콜릿,신문,,,,
전지우유,롤빵,베이킹 파우더,초콜릿,,,,,
과일,전지우유,냉동 야채,생수,,,,,
소고기,전지우유,롤빵,,,,,,
야채,식빵,,,,,,,
식빵,절인 야채,소다,쇼핑백,,,,,
감귤,과일,전지우유,냉동 야채,생수,,,,
햄,소고기,열대과일,고양이 사료,,,,,
소다,병맥주,,,,,,,
병맥주,신문,,,,,,,
소다,병맥주,,,,,,,
햄,돼지고기,소고기,허브,치즈,냉동 야채,롤빵,쌀,
감귤,열대과일,과일,버터우유,우유,냉동 식품,식빵,,
포도,전지우유,설탕,,,,,,
전지우유,버터,계란,와플,사탕,세정제,,,
야채,전지우유,요거트,사워 크림,밀가루,쇼핑백,,,
요거트,음료수,계란,롤빵,패스트리,소다,초콜릿,초콜릿,
치킨,소고기,,,,,,,
열대과일,사워 크림,생수,소다,병맥주,화초,,,
열대과일,전지우유,소스,초콜릿,신문,,,,
치즈,신문,,,,,,,
마가린,음료수,병맥주,,,,,,
돼지고기,전지우유,버터,계란,마가린,스프,신문,,
햄,치킨,야채,양파,요거트,사워 크림,치즈,냉동 야채,
크림 치즈,커피,초콜릿,사탕,쇼핑백,,,,
냉동 감자,롤빵,식빵,,,,,,
감귤,야채,커피,소주,초콜릿,사탕,,,
전지우유,마가린,,,,,,,
치킨,열대과일,야채,전지우유,디저트,요거트,패스트리,신문,
과일,야채 주스,,,,,,,
냉동 식품,아이스크림,냉동 감자,,,,,,
야채,양파,전지우유,요거트,사워 크림,치즈,크림 치즈,치즈,
소시지,생선,치즈,패스트리,,,,,
전지우유,생선,롤빵,절인 야채,,,,,
소고기,야채,전지우유,요거트,사워 크림,크림 치즈,고양이 사료,냅킨,
돼지고기,계란,소다,,,,,,
롤빵,생선 통조림,캔맥주,,,,,,
캔맥주,신문,,,,,,,
마요네즈,롤빵,소다,초콜릿,,,,,
롤빵,야채 주스,,,,,,,
소시지,치즈,캔맥주,,,,,,
치즈,양초,,,,,,,
생수,신문,,,,,,,
소시지,과일,전지우유,식빵,소금,파스타,기름,설탕,생수
감귤,계란,잼,,,,,,
농축 우유,마가린,야채 주스,캔맥주,,,,,
소시지,돼지고기,열대과일,전지우유,요거트,사워 크림,크림 치즈,,
식빵,캔맥주,,,,,,,
전지우유,버터,커피,생수,양초,,,,
계란,초콜릿,,,,,,,
소시지,야채,음료수,롤빵,소다,,,,
전지우유,요거트,롤빵,여성용 위생용품,,,,,
돼지고기,소다,,,,,,,
전지우유,사워 크림,냉동 야채,간식,,,,,
소고기,야채,냉동 야채,식빵,음료수,,,,
돼지고기,샐러드용 ??소스,기름,소스,커피,소다,캔맥주,소주,사탕
식빵,음료수,,,,,,,
과일,야채,우유,농축 우유,생선,사탕,,,
소시지,열대과일,전지우유,사워 크림,치즈,소다,피부관리용품,,
치킨,포도,야채,전지우유,계란,세정제,신문,,
치킨,과일,버터,치즈,냉동 야채,양초,,,
돼지고기,전지우유,생수,소다,냅킨,,,,
음료수,신문,,,,,,,
버터,식빵,,,,,,,
소시지,열대과일,과일,전지우유,치즈,치즈,식빵,패스트리,
캔맥주,쇼핑백,,,,,,,
소고기,야채,전지우유,마가린,,,,,
야채 주스,껌,,,,,,,
소시지,사워 크림,생수,화초,,,,,
소시지,요거트,,,,,,,
소시지,과일,야채,양파,전지우유,버터,디저트,치즈,크림 치즈
포도,전지우유,버터,롤빵,커피,생수,소다,음료수,화초
딸기,요거트,사워 크림,생수,와플,,,,
감귤,야채,,,,,,,
전지우유,식빵,강아지 사료,초콜릿,화초,,,,
전지우유,롤빵,소다,캔맥주,소주,쇼핑백,,,
감귤,야채,전지우유,,,,,,
돼지고기,소고기,야채,전지우유,우유,냉동 야채,쌀,베이킹 파우더,
소고기,사워 크림,신문,,,,,,
소고기,과일,식빵,소다,,,,,
전지우유,버터,롤빵,,,,,,
치즈,생수,백포도주,,,,,,
감귤,열대과일,양파,우유,커피,생수,소다,야채 주스,
전지우유,생수,,,,,,,
치킨,냉동 야채,냉동 식품,냉동 디저트,,,,,
감귤,열대과일,전지우유,롤빵,,,,,
소시지,치킨,허브,전지우유,사워 크림,치즈,계란,롤빵,
전지우유,롤빵,,,,,,,
돼지고기,야채,전지우유,계란,파스타,케첩,신문,,
야채,양파,전지우유,사워 크림,절인 야채,,,,
감귤,야채,전지우유,마가린,,,,,
감귤,열대과일,전지우유,요거트,사워 크림,,,,
전지우유,버터우유,,,,,,,
돼지고기,소고기,사워 크림,와플,껌,,,,
감귤,생수,야채 주스,쇼핑백,,,,,
감귤,요거트,,,,,,,
소시지,소고기,돼지고기,소고기,야채,우유,밀가루,세정제,
치킨,버터우유,우유,롤빵,야채 주스,신문,,,
전지우유,요거트,롤빵,,,,,,
양파,롤빵,커피,초콜릿,,,,,
생수,캔맥주,백포도주,,,,,,
햄,버터,롤빵,패스트리,기름,,,,
롤빵,야채 주스,,,,,,,
냉동 야채,롤빵,,,,,,,
햄,야채,전지우유,버터우유,우유,식빵,생수,,
소시지,롤빵,패스트리,생수,,,,,
전지우유,사워 크림,계란,식빵,사진 필름,,,,
햄,과일,전지우유,냉동 야채,,,,,
소시지,열대과일,음료수,치즈,롤빵,소다,껌,,
전지우유,버터우유,소금,설탕,소다,와플,,,
전지우유,생수,,,,,,,
돼지고기,전지우유,치즈,냉동 야채,고양이 사료,,,,
돼지고기,소다,,,,,,,
소시지,치킨,열대과일,딸기,야채,양파,전지우유,버터,요거트
전지우유,병맥주,,,,,,,
소고기,딸기,야채,양파,밀가루,머스타드,소다,병맥주,간식
전지우유,요거트,크림 치즈,패스트리,간식,,,,
야채,전지우유,계란,여성용 위생용품,신문,,,,
과일,소다,병맥주,캔맥주,와플,초콜릿,,,
소시지,돼지고기,열대과일,야채,허브,전지우유,요거트,사워 크림,
버터,소다,병맥주,소주,술,초콜릿,신문,,
소고기,전지우유,치즈,식빵,패스트리,야채 주스,신문,,
돼지고기,전지우유,버터,사워 크림,치즈,고양이 사료,커피,,
디저트,롤빵,냅킨,신문,쇼핑백,,,,
크림 치즈,마가린,야채 통조림,병맥주,,,,,
농축 우유,롤빵,식빵,커피,생수,소다,,,
아이스크림,식빵,,,,,,,
치킨,전지우유,냉동 식품,계란,식빵,케첩,강아지 사료,음료수,냅킨
야채,전지우유,농축 우유,냉동 야채,롤빵,식빵,,,
우유,아이스크림,생수,소다,쇼핑백,,,,
패스트리,소다,,,,,,,
롤빵,병맥주,,,,,,,
양파,소다,야채 주스,,,,,,
패스트리,캔맥주,남성 화장품,신문,,,,,
감귤,야채,전지우유,요거트,사워 크림,농축 우유,롤빵,밀가루,
치킨,감귤,야채,버터,커피,,,,
전지우유,식빵,밀가루,설탕,화초,,,,
치킨,전지우유,잼,커피,소다,냅킨,쇼핑백,,
감귤,야채,마가린,음료수,와플,,,,
감귤,야채,허브,버터,사워 크림,마요네즈,소주,와플,
치킨,요거트,사워 크림,냉동 디저트,소다,화초,,,
전지우유,요거트,,,,,,,
돼지고기,야채,전지우유,우유,냉동 식품,쇼핑백,,,
소고기,열대과일,과일,야채,전지우유,요거트,사워 크림,마요네즈,
소시지,소고기,열대과일,롤빵,마가린,생수,병맥주,피부관리용품,
야채,허브,전지우유,버터우유,사워 크림,쇼핑백,,,
치킨,과일,전지우유,롤빵,식빵,패스트리,마가린,생수,
햄,소고기,사워 크림,베이킹 파우더,고양이 사료,초콜릿,,,
야채,허브,전지우유,버터,롤빵,소다,초콜릿,사탕,
소시지,전지우유,밀가루,야채 주스,냅킨,,,,
패스트리,소다,캔맥주,백포도주,신문,,,,
소시지,감귤,과일,전지우유,디저트,계란,식빵,마가린,초콜릿
요거트,롤빵,,,,,,,
과일,야채,전지우유,버터,사워 크림,치즈,계란,수프,
소시지,전지우유,요거트,치즈,계란,식빵,간식,와플,초콜릿
햄,치킨,감귤,전지우유,요거트,사워 크림,병맥주,초콜릿,
소고기,전지우유,디저트,치즈,냉동 식품,롤빵,음료수,초콜릿,
버터,야채 주스,간식,초콜릿,,,,,
소고기,치킨,감귤,전지우유,요거트,냉동 야채,식빵,냅킨,
소시지,야채,전지우유,요거트,,,,,
전지우유,패스트리,,,,,,,
전지우유,마요네즈,소다,신문,,,,,
롤빵,캔맥주,,,,,,,
전지우유,요거트,사워 크림,롤빵,와플,,,,
소시지,버터,,,,,,,
소시지,열대과일,야채,전지우유,냉동 야채,계란,밀가루,마가린,
열대과일,딸기,야채,전지우유,크림 치즈,냉동 식품,식빵,소다,
농축 우유,소다,,,,,,,
마가린,양초,,,,,,,
요거트,생수,캔맥주,냅킨,,,,,
치즈,롤빵,소다,,,,,,
포도,롤빵,패스트리,병맥주,,,,,
전지우유,롤빵,신문,,,,,,
소시지,전지우유,요거트,크림,냉동 야채,냉동 감자,쌀,,
돼지고기,음료수,식빵,,,,,,
돼지고기,과일,야채,요거트,사워 크림,우유,계란,소금,
햄,소고기,,,,,,,
치즈,소금,야채 통조림,,,,,,
감귤,딸기,요거트,소다,,,,,
소시지,화초,,,,,,,
감귤,냉동 식품,계란,야채 주스,화초,,,,
인스턴트 식품,초콜릿,,,,,,,
소시지,야채,아이스크림,식빵,소금,,,,
치킨,햄,감귤,열대과일,딸기,양파,전지우유,요거트,사워 크림
치킨,디저트,소다,,,,,,
햄,열대과일,버터,크림 치즈,계란,식빵,패스트리,차,야채 주스
과일,전지우유,요거트,치즈,계란,간식,사진 필름,,
소시지,치킨,돼지고기,야채,전지우유,롤빵,야채 주스,캔맥주,
햄,소고기,요거트,생선 통조림,,,,,
소시지,감귤,,,,,,,
열대과일,전지우유,디저트,생수,소다,캔맥주,,,
햄,열대과일,신문,,,,,,
열대과일,롤빵,초콜릿,초콜릿,신문,,,,
설탕,백포도주,신문,,,,,,
생수,소다,,,,,,,
전지우유,요거트,병맥주,,,,,,
과일,버터우유,치즈,냉동 야채,식빵,설탕,커피,,
롤빵,커피,간식,와플,,,,,
전지우유,사워 크림,계란,생수,소다,초콜릿,화초,,
소다,사탕,,,,,,,
사워 크림,냅킨,화초,,,,,,
소시지,치킨,돼지고기,전지우유,버터,요거트,마가린,야채 주스,
소시지,소고기,감귤,열대과일,딸기,야채,전지우유,식빵,빵
야채,전지우유,패스트리,쇼핑백,,,,,
야채,버터,롤빵,밀가루,생수,소주,사탕,,
돼지고기,양파,버터,디저트,음료수,우유,치즈,냉동 야채,
전지우유,소다,전구,화초,쇼핑백,,,,
우유,생수,껌,쇼핑백,,,,,
냉동 야채,소다,,,,,,,
과일,냉동 식품,아이스크림,야채 주스,,,,,
열대과일,야채,계란,,,,,,
식빵,소다,병맥주,,,,,,
야채,포도주,팝콘,쇼핑백,,,,,
마가린,소다,,,,,,,
소시지,열대과일,버터우유,치즈,생수,소다,병맥주,,
치킨,야채,사워 크림,마가린,소스,캔맥주,쇼핑백,,
계란,패스트리,,,,,,,
농축 우유,패스트리,여성용 위생용품,쇼핑백,,,,,
캔맥주,쇼핑백,,,,,,,
돼지고기,열대과일,요거트,설탕,생수,전구,,,
열대과일,전지우유,음료수,롤빵,,,,,
돼지고기,열대과일,요거트,식빵,야채 주스,,,,
야채,초콜릿,,,,,,,
감귤,소다,음료수,,,,,,
햄,과일,요거트,냉동 식품,생수,소다,냅킨,,
와플,신문,,,,,,,
음료수,우유,지퍼백,음료수,,,,,
감귤,과일,딸기,생선,식빵,패스트리,와플,,
아이스크림,식빵,와인,간식,초콜릿,초콜릿,,,
간식,초콜릿,,,,,,,
식빵,,,,,,,,
열대과일,과일,딸기,아이스크림,식빵,,,,
전지우유,냉동 야채,패스트리,청소기,,,,,
커피,와인,,,,,,,
버터우유,치즈,커피,,,,,,
돼지고기,야채,패스트리,,,,,,
농축 우유,롤빵,커피,생수,소다,음료수,케이크,,
설탕,커피,,,,,,,
소시지,포장 채소,요거트,롤빵,,,,,
소시지,소고기,열대과일,야채,전지우유,식빵,신문,,
양파,전지우유,캔맥주,쇼핑백,,,,,
열대과일,전지우유,요거트,아이스크림,생수,소다,냅킨,,
수프,야채 통조림,,,,,,,
생수,소다,여성용 위생용품,,,,,,
전지우유,식빵,,,,,,,
소다,병맥주,소주,,,,,,
계란,패스트리,,,,,,,
치즈,병맥주,,,,,,,
버터,치즈,식빵,초콜릿,사탕,,,,
전지우유,크림 치즈,냅킨,그릇,,,,,
열대과일,기름,,,,,,,
음료수,캔맥주,,,,,,,
야채,병맥주,초콜릿,,,,,,
햄,열대과일,강아지 사료,소다,캔맥주,,,,
패스트리,소다,,,,,,,
소시지,야채,포장 채소,요거트,냉동 감자,식빵,소다,사탕,
농축 우유,커피,세정제,,,,,,
전지우유,패스트리,,,,,,,
