Record,Pixel_1,Pixel_2,Pixel_3,Pixel_4,Pixel_5,Pixel_6,Pixel_7,Pixel_8,Pixel_9,Pixel_10,Pixel_11,Pixel_12,Pixel_13,Pixel_14,Pixel_15,Pixel_16,Pixel_17,Pixel_18,Pixel_19,Pixel_20,Pixel_21,Pixel_22,Pixel_23,Pixel_24,Pixel_25,Pixel_26,Pixel_27,Pixel_28,Pixel_29,Pixel_30,Pixel_31,Pixel_32,Pixel_33,Pixel_34,Pixel_35,Pixel_36,Pixel_37,Pixel_38,Pixel_39,Pixel_40,Pixel_41,Pixel_42,Pixel_43,Pixel_44,Pixel_45,Pixel_46,Pixel_47,Pixel_48,Pixel_49,Pixel_50,Pixel_51,Pixel_52,Pixel_53,Pixel_54,Pixel_55,Pixel_56,Pixel_57,Pixel_58,Pixel_59,Pixel_60,Pixel_61,Pixel_62,Pixel_63,Pixel_64,Digit
974,0,0,12,12,14,15,1,0,0,1,15,11,6,5,0,0,0,6,15,12,4,0,0,0,0,6,11,8,13,6,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,9,3,0,0,2,6,1,6,14,3,0,0,1,11,16,13,8,0,0,5
975,0,0,8,14,11,2,0,0,0,6,16,7,6,13,1,0,0,8,11,0,0,10,4,0,0,7,8,0,0,5,7,0,0,8,4,0,0,7,8,0,0,2,10,0,0,7,10,0,0,0,14,3,4,15,3,0,0,0,5,16,16,7,0,0,0
976,0,0,8,16,11,1,0,0,0,0,14,2,5,9,0,0,0,0,14,1,5,12,0,0,0,0,6,16,16,14,1,0,0,0,0,3,7,10,7,0,0,0,0,0,0,4,12,0,0,0,6,1,0,2,14,0,0,0,9,16,16,16,12,0,9
977,0,0,12,9,9,8,1,0,0,2,15,8,8,8,2,0,0,8,12,8,5,0,0,0,0,8,15,9,14,9,0,0,0,2,1,0,1,14,3,0,0,0,0,0,0,6,11,0,0,1,8,4,5,14,9,0,0,1,11,16,12,7,0,0,5
978,0,1,14,16,12,0,0,0,0,5,16,9,16,6,0,0,0,3,11,0,14,9,0,0,0,0,0,0,10,10,0,0,0,0,0,0,14,10,0,0,0,0,0,10,16,5,0,0,0,2,15,16,14,8,12,2,0,0,11,16,16,16,15,5,2
979,0,0,5,12,16,15,2,0,0,6,15,9,10,15,4,0,0,3,14,3,1,14,4,0,0,0,10,16,15,13,1,0,0,0,6,15,15,10,0,0,0,0,15,3,2,15,3,0,0,0,16,8,1,14,4,0,0,0,4,15,16,11,2,0,8
980,0,0,13,16,11,0,0,0,0,2,16,11,16,4,0,0,0,0,14,9,15,9,0,0,0,0,0,2,16,8,0,0,0,0,0,4,16,4,0,0,0,0,0,9,16,1,0,0,0,0,9,16,15,8,11,5,0,0,9,12,13,16,16,11,2
981,0,0,10,10,12,7,0,0,0,0,15,13,5,12,5,0,0,4,13,4,0,2,8,0,0,8,4,0,0,3,8,0,0,8,4,0,0,7,5,0,0,6,6,0,0,11,2,0,0,1,13,3,3,12,0,0,0,0,7,15,16,7,0,0,0
982,0,0,10,7,3,0,0,0,0,1,15,12,14,6,0,0,0,5,12,0,2,13,0,0,0,4,12,0,0,4,7,0,0,8,5,0,0,4,8,0,0,5,8,0,0,5,10,0,0,0,14,3,4,14,6,0,0,0,7,16,16,10,0,0,0
983,0,0,8,11,0,0,0,0,0,0,7,16,3,0,0,0,0,0,6,16,10,0,0,0,0,0,10,16,15,1,0,0,0,0,0,2,16,2,0,0,0,0,0,0,15,9,0,0,0,0,6,12,16,15,8,5,0,0,4,15,16,16,16,16,1
984,0,0,3,16,12,12,7,0,0,0,12,13,13,16,6,0,0,0,2,0,6,14,0,0,0,0,1,4,13,10,1,0,0,0,9,16,16,16,8,0,0,0,4,12,12,7,1,0,0,0,0,14,6,0,0,0,0,0,4,16,2,0,0,0,7
985,0,0,1,12,9,0,0,0,0,0,11,10,2,0,0,0,0,4,14,0,0,0,0,0,0,5,9,0,0,0,0,0,0,8,10,11,16,14,1,0,0,2,16,10,3,7,11,0,0,0,13,8,1,8,12,0,0,0,2,12,16,15,5,0,6
986,0,0,3,15,16,12,0,0,0,0,6,16,6,14,6,0,0,0,0,3,1,15,6,0,0,0,0,1,14,16,3,0,0,5,8,2,13,16,3,0,0,5,16,0,0,9,13,0,0,1,15,11,8,12,16,1,0,0,3,14,16,16,9,0,3
987,0,3,15,15,3,0,0,0,0,8,14,12,10,0,0,0,0,5,11,6,14,0,0,0,0,0,0,7,14,0,0,0,0,0,0,10,12,0,0,0,0,0,0,15,9,0,0,0,0,1,11,16,12,8,5,0,0,5,16,16,16,16,16,0,2
988,0,0,11,10,0,0,0,0,0,0,13,15,0,0,0,0,0,0,12,16,5,0,0,0,0,1,15,16,5,0,0,0,0,0,3,13,10,0,0,0,0,0,0,10,14,0,0,0,0,0,5,11,16,9,5,1,0,0,12,16,16,16,16,12,1
989,0,0,0,4,15,2,0,0,0,0,0,13,13,0,0,0,0,0,3,16,6,0,10,1,0,0,12,12,1,7,15,1,0,5,16,3,0,14,10,0,2,16,13,8,8,16,3,0,8,16,16,16,16,13,0,0,0,0,0,7,16,6,0,0,4
990,0,0,0,6,14,3,0,0,0,0,5,15,7,1,0,0,0,0,10,10,0,0,0,0,0,0,12,5,0,0,0,0,0,0,14,16,16,11,2,0,0,2,16,13,3,8,12,0,0,0,8,15,5,4,16,2,0,0,0,4,14,16,13,0,6
991,0,0,6,14,13,3,0,0,0,0,12,2,3,14,0,0,0,0,0,0,8,13,0,0,0,0,0,12,16,3,0,0,0,0,0,0,8,13,1,0,0,1,7,0,0,7,11,0,0,3,13,2,0,7,13,0,0,0,5,14,14,15,6,0,3
992,0,0,10,13,1,0,0,0,0,0,7,16,5,0,0,0,0,0,6,16,6,0,0,0,0,0,6,16,13,0,0,0,0,0,0,6,16,2,0,0,0,0,0,3,16,8,0,0,0,0,7,11,16,14,9,4,0,0,6,15,13,14,16,15,1
993,0,0,2,15,16,9,0,0,0,0,3,13,11,16,0,0,0,0,0,2,13,12,0,0,0,0,0,9,16,11,0,0,0,3,3,1,6,15,8,0,0,11,13,0,0,10,12,0,0,3,16,12,7,16,8,0,0,0,3,15,16,10,0,0,3
994,0,0,3,13,13,3,0,0,0,0,12,7,3,13,0,0,0,0,16,0,5,12,0,0,0,0,10,13,14,16,2,0,0,0,1,7,6,13,4,0,0,1,4,0,0,5,11,0,0,2,14,6,2,9,11,0,0,0,4,10,16,16,4,0,9
995,0,0,2,13,1,0,0,0,0,0,0,15,6,0,0,0,0,0,0,15,10,0,0,0,0,0,0,13,16,1,0,0,0,0,0,6,15,6,0,0,0,0,0,0,12,9,0,0,0,0,5,12,14,16,9,2,0,0,2,12,12,12,13,8,1
996,0,0,4,15,14,12,11,0,0,0,7,15,13,16,10,0,0,0,10,7,6,16,2,0,0,0,7,1,12,12,0,0,0,0,5,8,16,12,1,0,0,4,16,16,16,14,2,0,0,0,0,15,9,1,0,0,0,0,5,15,2,0,0,0,7
997,0,0,0,5,12,12,0,0,0,0,5,16,6,1,0,0,0,0,15,5,0,0,0,0,0,5,13,2,7,4,0,0,0,7,15,16,13,15,3,0,0,3,16,9,0,1,12,0,0,0,10,12,2,6,13,0,0,0,0,8,15,16,5,0,6
998,0,0,3,11,16,15,0,0,0,0,15,16,5,13,0,0,0,2,16,9,0,12,0,0,0,1,9,15,10,10,0,0,0,0,0,6,16,12,1,0,0,0,2,14,2,16,5,0,0,0,8,10,1,14,4,0,0,0,3,15,16,9,0,0,8
999,0,0,0,1,15,3,0,0,0,0,0,8,13,0,9,7,0,0,2,15,4,0,15,5,0,2,13,14,11,10,15,0,0,11,15,13,16,16,10,0,0,0,0,0,3,16,5,0,0,0,0,0,9,14,0,0,0,0,0,2,16,6,0,0,4
1000,0,0,9,15,14,2,0,0,0,0,9,3,9,8,0,0,0,0,0,0,6,10,0,0,0,0,0,10,15,2,0,0,0,0,2,10,11,15,2,0,0,3,1,0,0,14,4,0,0,10,13,7,2,12,4,0,0,0,7,14,16,10,0,0,3
1001,0,0,1,14,2,0,0,0,0,0,0,16,5,0,0,0,0,0,0,14,10,0,0,0,0,0,0,11,16,1,0,0,0,0,0,3,14,6,0,0,0,0,0,0,8,12,0,0,0,0,10,14,13,16,8,3,0,0,2,11,12,15,16,15,1
1002,0,0,0,1,15,2,0,0,0,0,0,5,15,0,4,0,0,0,0,13,8,1,16,3,0,0,5,15,2,5,15,0,0,5,15,16,16,16,8,0,0,14,12,12,14,16,2,0,0,0,0,0,12,12,0,0,0,0,0,2,16,5,0,0,4
1003,0,0,6,16,12,1,0,0,0,3,16,5,9,13,0,0,0,5,12,0,0,12,6,0,0,8,14,2,0,7,8,0,0,7,12,2,0,4,8,0,0,4,12,0,0,9,7,0,0,3,16,5,7,14,2,0,0,0,7,16,13,3,0,0,0
1004,0,3,10,11,12,12,6,0,0,8,14,11,8,8,4,0,0,8,10,7,3,0,0,0,0,8,16,14,15,4,0,0,0,2,2,0,6,9,0,0,0,0,0,0,4,12,0,0,0,1,8,4,10,10,0,0,0,2,15,16,13,2,0,0,5
1005,0,0,14,16,15,3,0,0,0,0,6,5,13,8,0,0,0,0,0,8,16,5,0,0,0,0,0,11,16,10,0,0,0,1,3,0,4,15,8,0,0,6,15,0,0,9,15,0,0,5,16,5,6,14,14,0,0,1,11,16,16,14,2,0,3
1006,0,0,2,14,5,0,0,0,0,0,9,12,0,0,0,0,0,1,15,1,0,0,0,0,0,3,15,0,0,0,0,0,0,6,16,16,16,13,1,0,0,2,16,8,4,7,11,0,0,0,12,11,1,8,11,0,0,0,3,12,16,15,4,0,6
1007,0,1,12,16,10,1,0,0,0,8,12,3,11,8,0,0,0,12,13,6,12,8,0,0,0,3,15,16,16,16,1,0,0,0,0,0,0,13,6,0,0,0,0,0,0,6,11,0,0,0,13,0,0,5,12,0,0,0,12,16,16,16,8,0,9
1008,0,0,0,12,4,0,0,0,0,0,6,14,1,0,0,0,0,0,14,2,0,0,0,0,0,2,14,1,4,2,0,0,0,4,16,15,12,15,5,0,0,3,16,6,0,5,11,0,0,0,9,11,4,13,5,0,0,0,1,11,16,9,0,0,6
1009,0,0,11,10,0,0,0,0,0,0,11,15,0,0,0,0,0,0,11,16,5,0,0,0,0,0,13,16,11,0,0,0,0,0,2,7,16,2,0,0,0,0,0,2,14,6,0,0,0,0,6,10,15,13,8,3,0,0,8,16,16,16,16,12,1
1010,0,0,4,15,16,13,13,10,0,0,12,13,10,15,14,2,0,2,16,6,2,14,6,0,0,1,5,0,9,11,0,0,0,0,7,12,16,14,6,0,0,0,8,15,15,11,2,0,0,0,2,16,8,0,0,0,0,0,7,15,4,0,0,0,7
1011,0,0,9,12,12,12,6,0,0,1,14,6,4,4,2,0,0,4,15,12,9,1,0,0,0,4,15,8,11,11,0,0,0,0,1,0,0,14,4,0,0,0,0,0,0,10,8,0,0,0,10,1,0,8,8,0,0,0,9,16,16,15,4,0,5
1012,0,0,0,6,16,0,0,0,0,0,0,12,13,0,0,0,0,0,5,15,3,6,15,0,0,1,14,11,0,13,13,0,0,10,16,13,12,16,5,0,0,11,12,12,16,14,2,0,0,0,0,3,16,9,0,0,0,0,0,8,16,3,0,0,4
1013,0,0,0,9,13,0,0,0,0,0,2,16,8,0,7,1,0,0,10,13,1,6,16,5,0,6,16,11,8,14,15,0,0,13,16,16,16,16,9,0,0,2,2,0,11,16,1,0,0,0,0,4,16,7,0,0,0,0,0,9,15,2,0,0,4
1014,0,0,6,16,16,16,12,0,0,0,13,10,8,16,5,0,0,1,15,1,9,12,0,0,0,0,4,0,13,7,0,0,0,0,10,16,16,16,9,0,0,0,7,14,12,8,3,0,0,0,3,15,5,0,0,0,0,0,8,15,0,0,0,0,7
1015,0,0,8,12,5,0,0,0,0,3,16,8,12,1,0,0,0,0,14,0,12,3,0,0,0,0,3,0,12,3,0,0,0,0,0,3,14,0,0,0,0,0,0,5,12,0,0,0,0,0,5,16,6,4,4,0,0,0,14,16,16,16,14,0,2
1016,0,0,10,16,8,0,0,0,0,7,13,4,14,7,0,0,0,7,13,2,7,8,0,0,0,0,7,16,16,5,0,0,0,1,12,13,15,6,0,0,0,3,16,2,4,13,6,0,0,4,16,4,1,11,12,0,0,0,7,15,16,14,2,0,8
1017,0,0,9,16,7,0,0,0,0,0,14,13,16,2,0,0,0,0,7,9,15,8,0,0,0,0,0,1,13,9,0,0,0,0,0,0,14,7,0,0,0,0,0,4,16,5,0,0,0,0,7,16,16,8,6,0,0,0,9,15,12,16,16,9,2
1018,0,3,15,16,8,0,0,0,0,9,16,11,15,2,0,0,0,11,10,4,16,2,0,0,0,2,4,6,16,1,0,0,0,0,0,10,13,0,0,0,0,0,2,14,13,0,0,0,0,3,16,16,16,16,13,1,0,3,16,12,8,12,11,1,2
1019,0,0,7,12,13,4,0,0,0,0,16,6,6,2,0,0,0,4,13,7,8,2,0,0,0,7,16,10,10,14,1,0,0,2,2,0,0,10,6,0,0,0,0,0,0,8,8,0,0,0,11,1,0,10,8,0,0,0,8,15,15,15,2,0,5
1020,0,0,4,16,8,11,7,0,0,0,10,16,15,16,6,0,0,3,16,4,6,15,0,0,0,3,8,0,13,8,0,0,0,0,6,16,16,13,6,0,0,0,3,14,13,9,3,0,0,0,0,14,6,0,0,0,0,0,4,15,2,0,0,0,7
1021,0,0,6,12,13,2,0,0,0,3,16,6,1,15,0,0,0,5,16,13,12,16,2,0,0,2,13,16,12,15,4,0,0,0,0,0,0,8,8,0,0,0,1,0,0,8,8,0,0,3,16,2,0,10,7,0,0,0,5,11,16,13,1,0,9
1022,0,2,16,16,16,16,4,0,0,4,16,6,8,7,1,0,0,4,16,7,2,0,0,0,0,4,16,16,16,6,0,0,0,0,5,4,10,15,0,0,0,0,0,0,1,14,6,0,0,2,14,4,4,16,8,0,0,3,13,16,16,15,1,0,5
1023,0,0,0,9,13,0,6,8,0,0,3,15,3,0,15,9,0,1,13,12,4,7,15,3,0,7,16,16,16,16,10,0,0,6,12,10,14,14,2,0,0,0,0,0,13,10,0,0,0,0,0,6,16,2,0,0,0,0,0,12,11,0,0,0,4
1024,0,0,0,10,9,0,0,0,0,0,5,15,0,0,9,5,0,0,14,10,0,7,16,4,0,5,16,7,5,16,6,0,0,11,16,16,16,14,0,0,0,3,4,11,16,8,0,0,0,0,0,7,16,2,0,0,0,0,0,12,12,0,0,0,4
1025,0,0,11,14,5,0,0,0,0,6,12,4,13,4,0,0,0,10,10,0,4,14,0,0,0,7,13,5,13,16,2,0,0,1,10,12,12,14,8,0,0,0,0,0,0,7,12,0,0,0,1,0,0,1,15,0,0,0,11,8,4,5,16,1,9
1026,0,0,9,13,16,5,0,0,0,3,16,8,4,13,0,0,0,6,10,1,0,9,2,0,0,5,4,0,0,4,8,0,0,8,4,0,0,4,8,0,0,6,6,0,0,4,9,0,0,0,13,2,0,7,8,0,0,0,8,12,13,15,2,0,0
1027,0,0,2,11,14,8,1,0,0,3,14,9,8,13,4,0,0,6,11,1,4,14,1,0,0,0,9,14,15,6,0,0,0,0,0,12,14,10,0,0,0,0,4,12,2,13,5,0,0,0,4,11,1,11,8,0,0,0,1,9,16,14,2,0,8
1028,0,1,11,13,10,1,0,0,0,8,12,3,13,10,0,0,0,8,11,2,11,16,1,0,0,1,15,16,16,16,2,0,0,0,2,8,3,9,6,0,0,0,0,0,0,7,9,0,0,2,12,3,0,9,12,0,0,1,9,15,16,13,3,0,9
1029,0,0,8,16,15,6,0,0,0,5,14,4,4,15,0,0,0,6,13,0,1,15,2,0,0,1,11,11,13,10,0,0,0,0,1,16,16,3,0,0,0,0,12,9,5,13,2,0,0,0,16,2,1,13,8,0,0,0,8,15,16,14,1,0,8
1030,0,0,3,12,12,2,0,0,0,0,11,10,7,14,2,0,0,0,11,1,0,8,4,0,0,2,14,2,0,5,7,0,0,8,9,0,0,6,8,0,0,3,13,0,0,12,7,0,0,0,15,6,11,12,0,0,0,0,4,15,11,1,0,0,0
1031,0,0,5,12,12,9,3,0,0,0,8,16,16,16,4,0,0,0,9,16,16,14,1,0,0,0,11,16,16,12,0,0,0,0,12,16,16,12,0,0,0,0,11,16,16,12,0,0,0,0,4,16,16,12,0,0,0,0,6,12,12,6,0,0,1
1032,0,1,15,16,4,0,0,0,0,9,16,11,14,0,0,0,0,12,10,5,16,0,0,0,0,4,7,8,13,0,0,0,0,0,1,15,6,0,0,0,0,0,5,16,2,0,0,0,0,4,15,14,10,11,12,1,0,0,13,16,16,15,11,1,2
1033,0,0,6,12,13,9,0,0,0,7,14,6,7,16,3,0,0,4,6,5,14,6,0,0,0,0,0,12,14,4,0,0,0,0,0,0,3,14,2,0,0,0,0,0,0,9,7,0,0,0,3,1,0,9,8,0,0,0,5,14,12,13,2,0,3
1034,0,0,0,8,14,0,0,0,0,0,5,16,7,1,9,3,0,2,15,12,0,13,16,4,0,9,16,10,10,16,11,0,0,4,15,16,16,14,1,0,0,0,0,1,15,9,0,0,0,0,0,5,16,3,0,0,0,0,0,11,14,0,0,0,4
1035,0,1,8,15,16,16,9,0,0,8,16,12,8,8,5,0,0,8,14,7,0,0,0,0,0,9,16,16,12,0,0,0,0,8,13,8,16,3,0,0,0,0,0,1,16,4,0,0,0,0,0,8,15,1,0,0,0,0,12,15,5,0,0,0,5
1036,0,0,5,13,1,0,0,0,0,0,12,13,1,0,0,0,0,0,16,3,0,0,0,0,0,3,16,0,0,0,0,0,0,3,16,16,14,9,0,0,0,2,16,8,3,8,9,0,0,0,14,2,0,3,16,1,0,0,6,15,16,14,5,0,6
1037,0,0,6,12,10,14,8,0,0,0,15,14,13,16,3,0,0,1,12,0,9,11,0,0,0,0,0,4,16,8,2,0,0,0,9,16,16,16,9,0,0,0,2,15,6,0,0,0,0,0,3,15,1,0,0,0,0,0,8,11,0,0,0,0,7
1038,0,0,7,15,16,8,0,0,0,0,16,7,6,15,3,0,0,4,16,0,7,13,4,0,0,0,16,2,8,14,8,0,0,0,12,14,14,7,0,0,0,0,9,16,6,0,0,0,0,0,11,3,14,2,0,0,0,0,5,11,10,10,0,0,8
1039,0,1,11,16,11,1,0,0,0,6,11,16,16,7,0,0,0,1,2,9,16,11,0,0,0,2,14,12,16,12,0,0,0,0,3,8,4,13,4,0,0,0,0,0,0,10,8,0,0,0,4,12,16,14,6,0,0,0,14,8,4,0,0,0,9
1040,0,0,2,14,9,1,0,0,0,1,12,12,11,8,0,0,0,4,14,1,0,13,3,0,0,8,13,0,0,10,6,0,0,5,16,1,0,8,9,0,0,0,16,0,0,11,9,0,0,0,13,11,10,15,4,0,0,0,3,15,16,5,0,0,0
1041,0,0,6,10,8,3,0,0,0,0,6,16,16,9,0,0,0,0,9,16,16,6,0,0,0,0,7,16,16,10,0,0,0,0,11,16,16,8,0,0,0,0,7,16,16,9,0,0,0,0,10,16,16,6,0,0,0,0,4,9,12,11,2,0,1
1042,0,0,8,15,15,2,0,0,0,2,16,13,12,10,0,0,0,3,15,1,9,11,0,0,0,0,0,1,15,8,0,0,0,0,0,10,13,1,0,0,0,0,8,16,7,0,0,0,0,6,16,16,13,7,6,1,0,0,7,5,12,16,15,2,2
1043,0,0,7,13,16,5,0,0,0,6,15,7,6,14,0,0,0,9,5,1,10,9,0,0,0,0,0,8,16,5,0,0,0,0,0,1,6,15,1,0,0,0,0,0,0,1,12,0,0,0,4,5,2,5,13,0,0,0,6,12,16,14,5,0,3
1044,0,0,0,6,15,1,0,0,0,0,5,16,10,0,8,6,0,2,16,11,0,9,16,6,0,8,16,14,14,16,13,1,0,6,12,12,12,16,3,0,0,0,0,0,13,11,0,0,0,0,0,6,16,5,0,0,0,0,0,10,14,0,0,0,4
1045,0,1,7,15,16,16,14,0,0,10,16,11,6,3,1,0,0,7,16,16,12,0,0,0,0,8,16,12,16,4,0,0,0,1,4,0,13,8,0,0,0,0,0,0,15,8,0,0,0,0,0,7,16,2,0,0,0,0,13,15,5,0,0,0,5
1046,0,0,2,12,1,0,0,0,0,0,11,12,0,0,0,0,0,2,16,4,0,0,0,0,0,6,16,10,10,5,0,0,0,5,16,15,12,14,6,0,0,4,16,3,0,8,12,0,0,0,14,9,4,11,13,0,0,0,3,14,16,12,3,0,6
1047,0,0,3,15,16,16,12,0,0,0,12,12,7,16,6,0,0,4,12,0,9,13,0,0,0,0,1,1,13,7,0,0,0,0,8,13,16,16,6,0,0,0,12,15,12,6,1,0,0,0,0,15,5,0,0,0,0,0,3,16,2,0,0,0,7
1048,0,0,14,16,8,0,0,0,0,0,16,4,13,8,8,0,0,0,12,7,12,14,5,0,0,0,4,15,16,5,0,0,0,0,0,14,14,0,0,0,0,0,8,10,11,2,0,0,0,0,13,0,12,3,0,0,0,0,14,15,12,1,0,0,8
1049,0,0,12,15,13,2,0,0,0,1,16,5,5,13,0,0,0,1,7,13,0,8,4,0,0,6,11,13,13,15,4,0,0,1,9,12,12,13,1,0,0,0,0,0,0,11,6,0,0,0,0,0,0,5,14,0,0,0,10,13,12,15,6,0,9
1050,0,0,3,12,7,0,0,0,0,0,14,12,12,4,0,0,0,2,14,0,1,13,0,0,0,1,12,0,0,7,5,0,0,2,13,0,0,2,10,0,0,0,15,3,0,3,14,0,0,0,7,12,8,11,12,0,0,0,2,11,16,11,2,0,0
1051,0,0,3,13,10,1,0,0,0,0,3,16,16,4,0,0,0,0,1,16,16,2,0,0,0,0,6,16,16,1,0,0,0,0,4,16,16,1,0,0,0,0,4,16,16,3,0,0,0,0,7,16,16,0,0,0,0,0,2,14,16,5,0,0,1
1052,0,0,13,16,13,1,0,0,0,6,16,10,15,5,0,0,0,3,15,0,11,9,0,0,0,0,4,0,12,8,0,0,0,0,0,0,15,8,0,0,0,0,0,8,16,4,0,0,0,0,5,16,16,13,10,1,0,0,13,16,16,16,16,9,2
1053,0,0,6,14,16,11,0,0,0,6,14,7,4,16,4,0,0,7,7,0,5,16,2,0,0,0,0,14,16,5,0,0,0,0,0,4,13,11,0,0,0,0,0,0,0,11,8,0,0,0,0,2,4,10,12,0,0,0,9,16,16,11,3,0,3
1054,0,0,0,8,16,0,0,0,0,0,3,16,8,0,0,0,0,1,13,12,0,4,13,1,0,6,16,9,7,15,10,0,0,9,16,16,16,15,2,0,0,0,4,1,14,10,0,0,0,0,0,3,16,5,0,0,0,0,0,11,13,0,0,0,4
1055,0,0,5,10,14,16,11,0,0,2,15,15,5,4,1,0,0,2,16,9,4,1,0,0,0,2,16,16,16,11,0,0,0,2,9,1,0,14,4,0,0,0,0,0,1,14,3,0,0,0,0,2,13,7,0,0,0,0,7,14,7,0,0,0,5
1056,0,0,1,9,15,1,0,0,0,0,9,14,4,0,0,0,0,0,16,3,0,0,0,0,0,6,13,0,0,0,0,0,0,4,14,12,16,13,3,0,0,2,15,13,4,3,13,0,0,0,9,8,2,4,16,1,0,0,0,9,12,12,8,0,6
1057,0,0,5,12,16,12,4,0,0,1,12,7,5,16,5,0,0,2,9,0,8,9,0,0,0,0,2,3,12,1,0,0,0,4,12,14,15,12,4,0,0,5,4,16,1,0,0,0,0,0,1,12,0,0,0,0,0,0,3,12,0,0,0,0,7
1058,0,2,15,12,1,0,0,0,0,4,16,13,13,0,0,0,0,0,14,3,15,12,5,0,0,0,5,16,16,11,0,0,0,2,13,13,14,2,0,0,0,5,13,0,6,8,0,0,0,4,11,0,1,15,0,0,0,2,12,16,16,7,0,0,8
1059,0,0,9,13,6,0,0,0,0,0,14,7,11,3,0,0,0,4,7,8,5,8,0,0,0,8,10,15,14,9,0,0,0,0,4,7,9,13,1,0,0,0,0,0,0,5,11,0,0,0,2,0,2,12,6,0,0,0,10,14,14,7,0,0,9
1060,0,0,5,15,9,0,0,0,0,0,15,6,11,6,0,0,0,7,9,0,0,14,0,0,0,5,9,0,0,8,6,0,0,4,13,0,0,4,8,0,0,1,16,0,0,4,11,0,0,0,15,7,5,16,4,0,0,0,2,15,15,5,0,0,0
1061,0,0,12,14,6,0,0,0,0,2,16,7,13,10,0,0,0,0,16,2,1,13,4,0,0,0,9,13,8,16,2,0,0,0,6,16,16,13,0,0,0,0,0,2,3,16,0,0,0,0,1,6,13,10,0,0,0,0,13,9,8,2,0,0,9
1062,0,0,8,15,16,16,6,0,0,2,16,11,5,0,0,0,0,3,16,5,0,0,0,0,0,5,16,16,13,0,0,0,0,10,13,6,15,5,0,0,0,3,1,0,11,8,0,0,0,0,0,6,16,4,0,0,0,0,9,16,8,0,0,0,5
1063,0,0,6,11,16,16,3,0,0,5,16,15,5,0,0,0,0,11,16,15,2,0,0,0,0,12,15,12,12,0,0,0,0,2,1,4,16,0,0,0,0,0,0,0,16,4,0,0,0,0,0,2,16,3,0,0,0,0,5,16,13,0,0,0,5
1064,0,0,0,6,13,3,0,0,0,0,1,14,11,0,0,0,0,0,7,15,2,0,0,0,0,0,10,12,0,0,0,0,0,0,13,15,16,13,5,0,0,0,10,16,5,11,14,0,0,0,7,15,5,10,14,0,0,0,0,3,14,16,9,0,6
1065,0,0,7,16,16,16,6,0,0,0,12,13,5,1,0,0,0,0,15,7,1,0,0,0,0,3,16,16,13,0,0,0,0,11,15,5,16,4,0,0,0,5,3,1,16,3,0,0,0,0,0,11,12,0,0,0,0,0,7,15,1,0,0,0,5
1066,0,0,0,12,6,0,0,0,0,0,8,15,13,4,0,0,0,5,16,6,3,12,0,0,0,7,14,1,0,11,5,0,0,3,14,0,0,7,10,0,0,1,14,2,0,9,9,0,0,0,9,11,6,15,5,0,0,0,0,10,16,11,0,0,0
1067,0,0,10,13,9,1,0,0,0,2,16,7,10,8,0,0,0,0,12,12,7,11,0,0,0,3,16,16,16,7,0,0,0,0,5,8,12,10,1,0,0,0,0,0,0,11,7,0,0,0,0,0,0,3,15,0,0,0,11,16,16,16,8,0,9
1068,0,1,13,14,2,0,0,0,0,7,14,9,5,0,0,0,0,6,13,3,12,6,4,0,0,1,14,12,14,16,4,0,0,0,2,16,16,7,0,0,0,0,11,14,8,13,0,0,0,4,16,4,2,14,2,0,0,1,12,14,13,6,0,0,8
1069,0,0,5,15,14,3,0,0,0,0,12,7,2,12,0,0,0,0,16,3,0,12,1,0,0,0,12,11,10,15,0,0,0,0,2,10,15,13,1,0,0,0,0,0,0,14,4,0,0,0,0,6,12,15,2,0,0,0,7,13,4,0,0,0,9
1070,0,0,4,15,16,6,0,0,0,0,13,11,11,15,0,0,0,0,15,13,15,16,7,0,0,0,7,16,16,11,2,0,0,0,5,15,16,2,0,0,0,0,16,9,12,11,0,0,0,2,16,6,8,16,0,0,0,0,7,14,13,8,0,0,8
1071,0,0,0,3,16,5,0,0,0,0,3,14,10,0,9,11,0,1,13,11,0,2,15,8,0,7,16,9,11,16,15,1,0,6,15,13,12,16,9,0,0,0,0,0,8,15,2,0,0,0,0,1,15,7,0,0,0,0,0,5,15,2,0,0,4
1072,0,0,6,15,12,5,0,0,0,0,8,16,16,13,1,0,0,0,8,16,16,12,0,0,0,0,8,16,16,10,0,0,0,0,16,16,16,5,0,0,0,5,16,16,16,1,0,0,0,3,15,16,16,2,0,0,0,0,10,16,15,3,0,0,1
1073,0,0,5,10,11,13,12,0,0,2,14,8,8,13,10,0,0,1,6,0,4,13,0,0,0,0,0,1,15,2,0,0,0,0,0,11,15,8,1,0,0,2,15,15,8,7,0,0,0,1,9,12,0,0,0,0,0,0,7,11,0,0,0,0,7
1074,0,0,2,15,16,15,0,0,0,0,12,9,11,12,0,0,0,5,15,0,13,7,0,0,0,5,6,3,14,5,2,0,0,0,0,9,16,16,9,0,0,0,7,16,9,2,0,0,0,0,1,15,3,0,0,0,0,0,3,16,0,0,0,0,7
1075,0,0,7,14,15,7,0,0,0,6,16,8,7,16,4,0,0,11,6,1,10,14,1,0,0,1,0,4,16,6,0,0,0,0,0,2,11,13,1,0,0,0,0,0,0,11,7,0,0,0,3,4,8,14,3,0,0,0,10,13,12,4,0,0,3
